Rule ID,Property,Question,Answer,Action,Reason shown to the guest,Owner verdict (keep / change / remove),Comment
R120,Bure Croft,Must have,A river view,+4,Right by the water,,
R121,Bure Croft,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R122,Bure Croft,Your time,Fishing,+8,Fishing from the garden or close by,,
R123,Bure Croft,Your time,Fishing,+3,Right on the water,,
R124,Bure Croft,Your time,Walking and wildlife,+2,A garden to come back to,,
R125,Bure Croft,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R126,Bure Croft,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R127,Bure Croft,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R128,Bure Croft,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R129,Bure Croft,Your time,Doing very little,+3,A garden to yourselves,,
R130,Bure Croft,Your time,Doing very little,-2,,,
R131,Bure Croft,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R132,Bure Croft,Where,Horning,-5,,,
R133,Bure Croft,Where,Potter Heigham and the Thurne,-5,,,
R134,Bure Croft,Where,"Reedham, Brundall and the Yare",-5,,,
R135,Bure Croft,Where,Somewhere quiet and rural,-5,,,
R136,Bureville,How many,3 or 4,-12,,,
R137,Bureville,How many,5 or 6,-5,,,
R138,Bureville,How many,7 or 8,+2,"Sleeps 10, with a bed or two spare",,
R139,Bureville,How many,9 to 12,+6,"Sleeps 10, the right size for your party",,
R140,Bureville,How many,13 or more,EXCLUDE,"Sleeps 10, not enough beds for 13 or more",,
R141,Bureville,Who's coming,Just the two of us,-6,,,
R142,Bureville,Who's coming,Just me,-4,,,
R143,Bureville,Who's coming,Family with children,+4,Set up for families,,
R144,Bureville,Who's coming,A big get-together,+6,Room for a big get-together,,
R145,Bureville,Must have,The dog comes too,+10,Dogs welcome,,
R146,Bureville,Must have,A mooring for our boat,+10,A mooring at the property,,
R147,Bureville,Must have,Everything on one level,+10,Everything on one level,,
R148,Bureville,Must have,A hot tub,-2,,,
R149,Bureville,Must have,A river view,+8,On the main river,,
R150,Bureville,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R151,Bureville,Your time,Out on the water,+3,Straight out onto the main river,,
R152,Bureville,Your time,Fishing,+3,Right on the water,,
R153,Bureville,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R154,Bureville,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R155,Bureville,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R156,Bureville,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R157,Bureville,Where,Wroxham and Hoveton,-5,,,
R158,Bureville,Where,Horning,+8,"In Horning, where you asked",,
R159,Bureville,Where,Potter Heigham and the Thurne,-5,,,
R160,Bureville,Where,"Reedham, Brundall and the Yare",-5,,,
R161,Bureville,Where,Somewhere quiet and rural,-5,,,
R162,Buttercup Lodge,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R163,Buttercup Lodge,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R164,Buttercup Lodge,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R165,Buttercup Lodge,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R166,Buttercup Lodge,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R167,Buttercup Lodge,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R168,Buttercup Lodge,Who's coming,Just me,+5,Small enough to feel like your own,,
R169,Buttercup Lodge,Who's coming,Family with children,+4,Set up for families,,
R170,Buttercup Lodge,Who's coming,A big get-together,-6,,,
R171,Buttercup Lodge,Must have,The dog comes too,+10,Dogs welcome,,
R172,Buttercup Lodge,Must have,A mooring for our boat,-8,,,
R173,Buttercup Lodge,Must have,Everything on one level,-8,,,
R174,Buttercup Lodge,Must have,A hot tub,-2,,,
R175,Buttercup Lodge,Must have,A river view,+4,Right by the water,,
R176,Buttercup Lodge,Your time,Out on the water,-4,,,
R177,Buttercup Lodge,Your time,Fishing,+8,Fishing from the garden or close by,,
R178,Buttercup Lodge,Your time,Fishing,+3,Right on the water,,
R179,Buttercup Lodge,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R180,Buttercup Lodge,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R181,Buttercup Lodge,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R182,Buttercup Lodge,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R183,Buttercup Lodge,Where,Wroxham and Hoveton,-5,,,
R184,Buttercup Lodge,Where,Horning,+8,"In Horning, where you asked",,
R185,Buttercup Lodge,Where,Potter Heigham and the Thurne,-5,,,
R186,Buttercup Lodge,Where,"Reedham, Brundall and the Yare",-5,,,
R187,Buttercup Lodge,Where,Somewhere quiet and rural,-5,,,
R188,Cavell,How many,3 or 4,EXCLUDE,"Sleeps 2, not enough beds for 3 to 4",,
R189,Cavell,How many,5 or 6,EXCLUDE,"Sleeps 2, not enough beds for 5 to 6",,
R190,Cavell,How many,7 or 8,EXCLUDE,"Sleeps 2, not enough beds for 7 to 8",,
R191,Cavell,How many,9 to 12,EXCLUDE,"Sleeps 2, not enough beds for 9 to 12",,
R192,Cavell,How many,13 or more,EXCLUDE,"Sleeps 2, not enough beds for 13 or more",,
R193,Cavell,Who's coming,Just the two of us,+8,Made for two,,
R194,Cavell,Who's coming,Just me,+5,Small enough to feel like your own,,
R195,Cavell,Who's coming,Just me,+3,Cosy for one,,
R196,Cavell,Who's coming,Family with children,EXCLUDE,"Sleeps 2, not enough beds for a family",,
R197,Cavell,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R198,Cavell,Who's coming,A group of friends,EXCLUDE,"Sleeps 2, not enough beds for a group of friends",,
R199,Cavell,Who's coming,A big get-together,-6,,,
R200,Cavell,Who's coming,A big get-together,EXCLUDE,"Sleeps 2, not enough beds for a big group",,
R201,Cavell,Must have,The dog comes too,+10,Dogs welcome,,
R202,Cavell,Must have,A mooring for our boat,-8,,,
R203,Cavell,Must have,Everything on one level,-8,,,
R204,Cavell,Must have,A hot tub,-2,,,
R205,Cavell,Must have,A river view,+4,Right by the water,,
R206,Cavell,Your time,Out on the water,-4,,,
R207,Cavell,Your time,Fishing,+3,Right on the water,,
R208,Cavell,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R209,Cavell,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R210,Cavell,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R211,Cavell,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R212,Cavell,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R213,Cavell,Your time,Doing very little,-2,,,
R214,Cavell,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R215,Cavell,Where,Horning,-5,,,
R216,Cavell,Where,Potter Heigham and the Thurne,-5,,,
R217,Cavell,Where,"Reedham, Brundall and the Yare",-5,,,
R218,Cavell,Where,Somewhere quiet and rural,-5,,,
R219,Coots,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R220,Coots,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R221,Coots,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R222,Coots,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R223,Coots,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R224,Coots,Who's coming,Just me,-4,,,
R225,Coots,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R226,Coots,Must have,The dog comes too,+10,Dogs welcome,,
R227,Coots,Must have,A mooring for our boat,+10,A mooring at the property,,
R228,Coots,Must have,Everything on one level,+10,Everything on one level,,
R229,Coots,Must have,A hot tub,-2,,,
R230,Coots,Must have,A river view,+4,Right by the water,,
R231,Coots,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R232,Coots,Your time,Fishing,+3,Right on the water,,
R233,Coots,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R234,Coots,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R235,Coots,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R236,Coots,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R237,Coots,Your time,Doing very little,-2,,,
R238,Coots,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R239,Coots,Where,Horning,-5,,,
R240,Coots,Where,Potter Heigham and the Thurne,-5,,,
R241,Coots,Where,"Reedham, Brundall and the Yare",-5,,,
R242,Coots,Where,Somewhere quiet and rural,-5,,,
R243,Cresta Cottage,How many,3 or 4,-5,,,
R244,Cresta Cottage,How many,5 or 6,+2,"Sleeps 7, with a bed or two spare",,
R245,Cresta Cottage,How many,7 or 8,+6,"Sleeps 7, the right size for your party",,
R246,Cresta Cottage,How many,9 to 12,EXCLUDE,"Sleeps 7, not enough beds for 9 to 12",,
R247,Cresta Cottage,How many,13 or more,EXCLUDE,"Sleeps 7, not enough beds for 13 or more",,
R248,Cresta Cottage,Who's coming,Just me,-4,,,
R249,Cresta Cottage,Who's coming,Family with children,+4,Set up for families,,
R250,Cresta Cottage,Must have,The dog comes too,+10,Dogs welcome,,
R251,Cresta Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R252,Cresta Cottage,Must have,Everything on one level,+10,Everything on one level,,
R253,Cresta Cottage,Must have,A hot tub,-2,,,
R254,Cresta Cottage,Must have,A river view,+8,On the main river,,
R255,Cresta Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R256,Cresta Cottage,Your time,Out on the water,+3,Straight out onto the main river,,
R257,Cresta Cottage,Your time,Fishing,+3,Right on the water,,
R258,Cresta Cottage,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R259,Cresta Cottage,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R260,Cresta Cottage,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R261,Cresta Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R262,Cresta Cottage,Where,Wroxham and Hoveton,-5,,,
R263,Cresta Cottage,Where,Horning,+8,"In Horning, where you asked",,
R264,Cresta Cottage,Where,Potter Heigham and the Thurne,-5,,,
R265,Cresta Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R266,Cresta Cottage,Where,Somewhere quiet and rural,-5,,,
R267,Drakes Dyke,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R268,Drakes Dyke,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R269,Drakes Dyke,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R270,Drakes Dyke,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R271,Drakes Dyke,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R272,Drakes Dyke,Who's coming,Just me,-4,,,
R273,Drakes Dyke,Who's coming,Family with children,+2,A garden for the children,,
R274,Drakes Dyke,Must have,The dog comes too,+10,Dogs welcome,,
R275,Drakes Dyke,Must have,A mooring for our boat,+10,A mooring at the property,,
R276,Drakes Dyke,Must have,Everything on one level,-8,,,
R277,Drakes Dyke,Must have,A hot tub,-2,,,
R278,Drakes Dyke,Must have,A river view,+8,On the main river,,
R279,Drakes Dyke,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R280,Drakes Dyke,Your time,Out on the water,+3,Straight out onto the main river,,
R281,Drakes Dyke,Your time,Fishing,+8,Fishing from the garden or close by,,
R282,Drakes Dyke,Your time,Fishing,+3,Right on the water,,
R283,Drakes Dyke,Your time,Walking and wildlife,+2,A garden to come back to,,
R284,Drakes Dyke,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R285,Drakes Dyke,Your time,"Pubs, villages and days out",+3,Wroxham's shops and boatyards close by,,
R286,Drakes Dyke,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R287,Drakes Dyke,Your time,Doing very little,+3,A garden to yourselves,,
R288,Drakes Dyke,Where,Wroxham and Hoveton,+8,"In Wroxham, where you asked",,
R289,Drakes Dyke,Where,Horning,-5,,,
R290,Drakes Dyke,Where,Potter Heigham and the Thurne,-5,,,
R291,Drakes Dyke,Where,"Reedham, Brundall and the Yare",-5,,,
R292,Drakes Dyke,Where,Somewhere quiet and rural,-5,,,
R293,Dutch Cottage,How many,3 or 4,+2,"Sleeps 6, with a bed or two spare",,
R294,Dutch Cottage,How many,5 or 6,+6,"Sleeps 6, the right size for your party",,
R295,Dutch Cottage,How many,7 or 8,EXCLUDE,"Sleeps 6, not enough beds for 7 to 8",,
R296,Dutch Cottage,How many,9 to 12,EXCLUDE,"Sleeps 6, not enough beds for 9 to 12",,
R297,Dutch Cottage,How many,13 or more,EXCLUDE,"Sleeps 6, not enough beds for 13 or more",,
R298,Dutch Cottage,Who's coming,Just me,-4,,,
R299,Dutch Cottage,Who's coming,Family with children,+4,Set up for families,,
R300,Dutch Cottage,Who's coming,Family with children,+2,A garden for the children,,
R301,Dutch Cottage,Who's coming,A group of friends,+3,Pubs and restaurants a short walk away,,
R302,Dutch Cottage,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R303,Dutch Cottage,Must have,A mooring for our boat,+10,A mooring at the property,,
R304,Dutch Cottage,Must have,Everything on one level,+10,Everything on one level,,
R305,Dutch Cottage,Must have,A hot tub,-2,,,
R306,Dutch Cottage,Must have,A river view,+4,Right by the water,,
R307,Dutch Cottage,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R308,Dutch Cottage,Your time,Fishing,+3,Right on the water,,
R309,Dutch Cottage,Your time,Walking and wildlife,+2,A garden to come back to,,
R310,Dutch Cottage,Your time,"Pubs, villages and days out",+6,In the heart of the village,,
R311,Dutch Cottage,Your time,"Pubs, villages and days out",+3,Horning's pubs and river frontage,,
R312,Dutch Cottage,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R313,Dutch Cottage,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R314,Dutch Cottage,Your time,Doing very little,+3,A garden to yourselves,,
R315,Dutch Cottage,Your time,Doing very little,-2,,,
R316,Dutch Cottage,Where,Wroxham and Hoveton,-5,,,
R317,Dutch Cottage,Where,Horning,+8,"In Horning, where you asked",,
R318,Dutch Cottage,Where,Potter Heigham and the Thurne,-5,,,
R319,Dutch Cottage,Where,"Reedham, Brundall and the Yare",-5,,,
R320,Dutch Cottage,Where,Somewhere quiet and rural,-5,,,
R321,Dydle Down,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R322,Dydle Down,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R323,Dydle Down,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R324,Dydle Down,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R325,Dydle Down,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R326,Dydle Down,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R327,Dydle Down,Who's coming,Just me,+5,Small enough to feel like your own,,
R328,Dydle Down,Who's coming,Family with children,+2,A garden for the children,,
R329,Dydle Down,Who's coming,A big get-together,-6,,,
R330,Dydle Down,Must have,The dog comes too,EXCLUDE,Doesn't take pets,,
R331,Dydle Down,Must have,A mooring for our boat,+10,A mooring at the property,,
R332,Dydle Down,Must have,Everything on one level,+10,Everything on one level,,
R333,Dydle Down,Must have,A hot tub,-2,,,
R334,Dydle Down,Must have,A river view,+8,On the main river,,
R335,Dydle Down,Your time,Out on the water,+6,Moor your boat at the bottom of the garden,,
R336,Dydle Down,Your time,Out on the water,+3,Straight out onto the main river,,
R337,Dydle Down,Your time,Fishing,+8,Fishing from the garden or close by,,
R338,Dydle Down,Your time,Fishing,+3,Right on the water,,
R339,Dydle Down,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R340,Dydle Down,Your time,Walking and wildlife,+2,A garden to come back to,,
R341,Dydle Down,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R342,Dydle Down,Your time,Doing very little,+3,A garden to yourselves,,
R343,Dydle Down,Where,Wroxham and Hoveton,-5,,,
R344,Dydle Down,Where,Horning,-5,,,
R345,Dydle Down,Where,Potter Heigham and the Thurne,+8,"In Potter Heigham and the Thurne, where you asked",,
R346,Dydle Down,Where,"Reedham, Brundall and the Yare",-5,,,
R347,Dydle Down,Where,Somewhere quiet and rural,-5,,,
R348,Fennel,How many,3 or 4,+6,"Sleeps 4, the right size for your party",,
R349,Fennel,How many,5 or 6,EXCLUDE,"Sleeps 4, not enough beds for 5 to 6",,
R350,Fennel,How many,7 or 8,EXCLUDE,"Sleeps 4, not enough beds for 7 to 8",,
R351,Fennel,How many,9 to 12,EXCLUDE,"Sleeps 4, not enough beds for 9 to 12",,
R352,Fennel,How many,13 or more,EXCLUDE,"Sleeps 4, not enough beds for 13 or more",,
R353,Fennel,Who's coming,Just the two of us,+4,A cottage sized for a couple,,
R354,Fennel,Who's coming,Just me,+5,Small enough to feel like your own,,
R355,Fennel,Who's coming,Family with children,+4,Set up for families,,
R356,Fennel,Who's coming,A big get-together,-6,,,
R357,Fennel,Must have,The dog comes too,+10,Dogs welcome,,
R358,Fennel,Must have,A mooring for our boat,-8,,,
R359,Fennel,Must have,Everything on one level,-8,,,
R360,Fennel,Must have,A hot tub,-2,,,
R361,Fennel,Must have,A river view,+4,Right by the water,,
R362,Fennel,Your time,Out on the water,-4,,,
R363,Fennel,Your time,Fishing,+8,Fishing from the garden or close by,,
R364,Fennel,Your time,Fishing,+3,Right on the water,,
R365,Fennel,Your time,Walking and wildlife,+6,"Quiet, with walks from the door",,
R366,Fennel,Your time,Walking and wildlife,+2,Dogs welcome on the walks,,
R367,Fennel,Your time,"Pubs, villages and days out",+2,Parking at the property for days out,,
R368,Fennel,Your time,Doing very little,+5,Sit by the water and watch the boats go by,,
R369,Fennel,Where,Wroxham and Hoveton,-5,,,
R370,Fennel,Where,Horning,-5,,,
R371,Fennel,Where,Potter Heigham and the Thurne,+8,"In Potter Heigham and the Thurne, where you asked",,
R372,Fennel,Where,"Reedham, Brundall and the Yare",-5,,,
R373,Fennel,Where,Somewhere quiet and rural,+8,"In the quieter villages, where you asked",,
R374,Ferry View,How many,3 or 4,-12,,,
R375,Ferry View,How many,5 or 6,-5,,,
R376,Ferry View,How many,7 or 8,+2,"Sleeps 10, with a bed or two spare",,
R377,Ferry View,How many,9 to 12,+6,"Sleeps 10, the right size for your party",,
R378,Ferry View,How many,13 or more,EXCLUDE,"Sleeps 10, not enough beds for 13 or more",,
R379,Ferry View,Who's coming,Just the two of us,-6,,,
R380,Ferry View,Who's coming,Just me,-4,,,
R381,Ferry View,Who's coming,Family with children,+4,Set up for families,,
R382,Ferry View,Who's coming,Family with children,+2,A garden for the children,,
R383,Ferry View,Who's coming,A big get-together,+6,Room for a big get-together,,
